"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
104,93,16,7,1.62738526194033,0.768126974516453
104,94,14,5,1.51599749889061,0.842712728638792
104,95,2,9,1.88659519891991,0.734118630428584
104,96,3,1,1.67556353250173,1.04078920656659
104,97,15,8,1.71226974604804,0.721020981251178
104,98,16,5,1.51786406958593,0.850835383555916
104,99,10,9,1.84625616610459,0.709475877867188
104,100,8,3,1.52937601155685,0.88288676550614
130,1,15,6,1.45371021386995,0.939290280522318
130,2,16,3,1.41338296565388,0.970236785692616
130,3,10,10,1.5626798632862,0.850465859349624
130,4,8,5,1.49897847243612,0.960024557060596
130,5,18,9,1.55773079358766,0.858690348277795
130,6,13,2,1.48645189501969,1.0336991780129
130,7,5,8,1.48740155789545,0.86603672442675
130,8,6,4,1.51219648789723,0.994198921112775
130,9,11,9,1.56482684266073,0.860395992588945
130,10,19,3,1.4156782474426,0.95645710836303
130,11,7,6,1.45409012465439,0.919036281408797
130,12,9,2,1.50021522830491,1.06753797896839
130,13,17,7,1.474738777444,0.891460109950605
130,14,13,5,1.46786576982931,0.948739018353422
130,15,3,8,1.48951881634947,0.868091676103707
130,16,4,5,1.52391248507245,0.954662086606712
130,17,14,8,1.49611507920574,0.864193062439604
